district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,2,2023-01-15,56,145,48.3,36.6,36.6,0,16,5,5.9,6.9,6.9,5.9
Citywide,Rape,435,396,224,204,2,2023-01-15,235,824,274.7,-48.5,-40.7,15.2,-14,48.6,27.5,25,28.8,33.7
Citywide,Robbery,3228,3099,2404,2242,91,2023-01-15,2376,7745,2581.7,-27.7,-23.3,6,-8,380.2,294.9,275,291.5,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,92,2023-01-15,2594,7111,2370.3,-6.5,1.8,8.9,9,312.4,267.8,292.1,318.2,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,1,2023-01-15,19,104,34.7,-43.1,-62.7,-34.5,-45,6.3,2.9,3.6,2.3,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-01-15,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,214,2023-01-15,5929,19753,6584.3,45.5,19.5,-17.8,-10,608.6,929.2,885.3,727.3,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,980,2023-01-15,35299,98853,32951,-25.9,-16,13.4,7,5154.8,3151.6,3819.8,4330.1,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,205,2023-01-15,6231,16554,5518,35.7,40.3,3.3,13,544.9,746.1,739.7,764.4,676.9
Citywide,Arson,288,285,411,387,12,2023-01-15,288,1083,361,35.8,1.1,-25.6,-20,35,50.4,47.5,35.3,44.3
