district,crime,total22,total21,update
Bayview,ARSON,0,4,2022-10-30
Bayview,ASSAULT,21,29,2022-10-30
Bayview,BURGLARY,28,53,2022-10-30
Bayview,HOMICIDE,1,0,2022-10-30
Bayview,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Bayview,LARCENY THEFT,127,137,2022-10-30
Bayview,MOTOR VEHICLE THEFT,100,74,2022-10-30
Bayview,RAPE,0,3,2022-10-30
Bayview,ROBBERY,21,17,2022-10-30
Bayview,TOTAL,298,317,2022-10-30
Central,ARSON,3,4,2022-10-30
Central,ASSAULT,16,23,2022-10-30
Central,BURGLARY,67,72,2022-10-30
Central,HOMICIDE,0,0,2022-10-30
Central,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Central,LARCENY THEFT,661,914,2022-10-30
Central,MOTOR VEHICLE THEFT,38,49,2022-10-30
Central,RAPE,2,2,2022-10-30
Central,ROBBERY,31,30,2022-10-30
Central,TOTAL,818,1094,2022-10-30
Citywide,ARSON,23,29,2022-10-30
Citywide,ASSAULT,196,197,2022-10-30
Citywide,BURGLARY,412,536,2022-10-30
Citywide,HOMICIDE,3,2,2022-10-30
Citywide,HUMAN TRAFFICKING - SEX ACT,0,3,2022-10-30
Citywide,LARCENY THEFT,2775,3388,2022-10-30
Citywide,MOTOR VEHICLE THEFT,514,573,2022-10-30
Citywide,RAPE,12,21,2022-10-30
Citywide,ROBBERY,214,197,2022-10-30
Citywide,TOTAL,4149,4946,2022-10-30
Ingleside,ARSON,1,1,2022-10-30
Ingleside,ASSAULT,19,10,2022-10-30
Ingleside,BURGLARY,45,55,2022-10-30
Ingleside,HOMICIDE,0,0,2022-10-30
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Ingleside,LARCENY THEFT,136,142,2022-10-30
Ingleside,MOTOR VEHICLE THEFT,94,81,2022-10-30
Ingleside,RAPE,1,1,2022-10-30
Ingleside,ROBBERY,29,14,2022-10-30
Ingleside,TOTAL,325,304,2022-10-30
Mission,ARSON,4,8,2022-10-30
Mission,ASSAULT,21,28,2022-10-30
Mission,BURGLARY,42,63,2022-10-30
Mission,HOMICIDE,0,2,2022-10-30
Mission,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Mission,LARCENY THEFT,232,318,2022-10-30
Mission,MOTOR VEHICLE THEFT,69,83,2022-10-30
Mission,RAPE,2,4,2022-10-30
Mission,ROBBERY,45,33,2022-10-30
Mission,TOTAL,415,539,2022-10-30
Northern,ARSON,5,1,2022-10-30
Northern,ASSAULT,33,23,2022-10-30
Northern,BURGLARY,78,92,2022-10-30
Northern,HOMICIDE,0,0,2022-10-30
Northern,HUMAN TRAFFICKING - SEX ACT,0,1,2022-10-30
Northern,LARCENY THEFT,540,551,2022-10-30
Northern,MOTOR VEHICLE THEFT,58,75,2022-10-30
Northern,RAPE,4,2,2022-10-30
Northern,ROBBERY,27,31,2022-10-30
Northern,TOTAL,745,776,2022-10-30
Park,ARSON,0,1,2022-10-30
Park,ASSAULT,6,5,2022-10-30
Park,BURGLARY,18,29,2022-10-30
Park,HOMICIDE,1,0,2022-10-30
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Park,LARCENY THEFT,112,181,2022-10-30
Park,MOTOR VEHICLE THEFT,25,27,2022-10-30
Park,RAPE,0,0,2022-10-30
Park,ROBBERY,5,2,2022-10-30
Park,TOTAL,167,245,2022-10-30
Richmond,ARSON,1,1,2022-10-30
Richmond,ASSAULT,14,7,2022-10-30
Richmond,BURGLARY,33,39,2022-10-30
Richmond,HOMICIDE,0,0,2022-10-30
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Richmond,LARCENY THEFT,304,366,2022-10-30
Richmond,MOTOR VEHICLE THEFT,20,39,2022-10-30
Richmond,RAPE,1,1,2022-10-30
Richmond,ROBBERY,7,6,2022-10-30
Richmond,TOTAL,380,459,2022-10-30
Southern,ARSON,4,3,2022-10-30
Southern,ASSAULT,27,20,2022-10-30
Southern,BURGLARY,52,74,2022-10-30
Southern,HOMICIDE,0,0,2022-10-30
Southern,HUMAN TRAFFICKING - SEX ACT,0,1,2022-10-30
Southern,LARCENY THEFT,270,443,2022-10-30
Southern,MOTOR VEHICLE THEFT,38,56,2022-10-30
Southern,RAPE,1,2,2022-10-30
Southern,ROBBERY,23,23,2022-10-30
Southern,TOTAL,415,622,2022-10-30
Taraval,ARSON,3,3,2022-10-30
Taraval,ASSAULT,12,10,2022-10-30
Taraval,BURGLARY,37,28,2022-10-30
Taraval,HOMICIDE,0,0,2022-10-30
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2022-10-30
Taraval,LARCENY THEFT,257,194,2022-10-30
Taraval,MOTOR VEHICLE THEFT,53,67,2022-10-30
Taraval,RAPE,1,1,2022-10-30
Taraval,ROBBERY,3,14,2022-10-30
Taraval,TOTAL,366,317,2022-10-30
Tenderloin,ARSON,2,3,2022-10-30
Tenderloin,ASSAULT,27,41,2022-10-30
Tenderloin,BURGLARY,12,31,2022-10-30
Tenderloin,HOMICIDE,1,0,2022-10-30
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,1,2022-10-30
Tenderloin,LARCENY THEFT,122,123,2022-10-30
Tenderloin,MOTOR VEHICLE THEFT,18,19,2022-10-30
Tenderloin,RAPE,0,4,2022-10-30
Tenderloin,ROBBERY,23,27,2022-10-30
Tenderloin,TOTAL,205,249,2022-10-30
