district,category,total18,total19,total20,total21,ytd2022,updated,last12mos
Citywide,Total Part 1 Violent Crimes,6458,6134,4883,4912,NA,NA,NA
Citywide,Total Part 1 Property Crimes,52946,51710,39760,44773,NA,NA,NA
Citywide,Total Part 1 Crimes,59404,57844,44643,49685,NA,NA,NA
Central,Total Part 1 Violent Crimes,871,801,548,543,NA,NA,NA
Central,Total Part 1 Property Crimes,11124,10325,5535,8957,NA,NA,NA
Central,Total Part 1 Crimes,11995,11126,6083,9500,NA,NA,NA
Southern,Total Part 1 Violent Crimes,748,699,580,546,NA,NA,NA
Southern,Total Part 1 Property Crimes,7319,5871,4035,4788,NA,NA,NA
Southern,Total Part 1 Crimes,8067,6570,4615,5334,NA,NA,NA
Bayview,Total Part 1 Violent Crimes,765,746,662,630,NA,NA,NA
Bayview,Total Part 1 Property Crimes,3445,3492,3217,3249,NA,NA,NA
Bayview,Total Part 1 Crimes,4210,4238,3879,3879,NA,NA,NA
Mission,Total Part 1 Violent Crimes,1115,1078,694,775,NA,NA,NA
Mission,Total Part 1 Property Crimes,6379,5523,4493,5007,NA,NA,NA
Mission,Total Part 1 Crimes,7494,6601,5187,5782,NA,NA,NA
Northern,Total Part 1 Violent Crimes,674,688,585,597,NA,NA,NA
Northern,Total Part 1 Property Crimes,8833,9627,7413,7671,NA,NA,NA
Northern,Total Part 1 Crimes,9507,10315,7998,8268,NA,NA,NA
Park,Total Part 1 Violent Crimes,172,142,121,125,NA,NA,NA
Park,Total Part 1 Property Crimes,2459,2435,2754,2541,NA,NA,NA
Park,Total Part 1 Crimes,2631,2577,2875,2666,NA,NA,NA
Richmond,Total Part 1 Violent Crimes,186,199,188,200,NA,NA,NA
Richmond,Total Part 1 Property Crimes,3602,4377,3796,4133,NA,NA,NA
Richmond,Total Part 1 Crimes,3788,4576,3984,4333,NA,NA,NA
Ingleside,Total Part 1 Violent Crimes,632,543,511,452,NA,NA,NA
Ingleside,Total Part 1 Property Crimes,2894,2952,3418,3177,NA,NA,NA
Ingleside,Total Part 1 Crimes,3526,3495,3929,3629,NA,NA,NA
Taraval,Total Part 1 Violent Crimes,321,305,212,244,NA,NA,NA
Taraval,Total Part 1 Property Crimes,3430,3660,3192,3415,NA,NA,NA
Taraval,Total Part 1 Crimes,3751,3965,3404,3659,NA,NA,NA
Tenderloin,Total Part 1 Violent Crimes,946,904,752,767,NA,NA,NA
Tenderloin,Total Part 1 Property Crimes,2969,2919,1663,1579,NA,NA,NA
Tenderloin,Total Part 1 Crimes,3915,3823,2415,2346,NA,NA,NA
